,Occupation,Age,Location,Income,lat,long
project-engineer-san-luis-obispo-ca-salary-money-diary,Project Engineer,29,"San Luis Obispo, CA",65000,35.3540209,-120.3757163
ski-lift-operator-new-mexico-salary-money-diary,Lift Operations Manager,26,New Mexico,0,34.5708167,-105.993007
icu-nurse-los-angeles-ca-salary-money-diary,ICU Nurse,29,"Los Angeles, CA",80000,34.0536909,-118.242766
graduate-researcher-portland-or-salary-money-diary,Graduate Researcher,24,"Portland, OR",34000,45.5202471,-122.6741949
product-director-billings-mt-salary-money-diary,Product Director,35,"Billings, MT",50000,45.7874957,-108.49607
teacher-los-angeles-ca-salary-money-diary,Elementary School Teacher,52,"Los Angeles, CA",51500,34.0536909,-118.242766
pharmacist-upstate-new-york-salary-money-diary,Pharmacist,36,Upstate New York,140000,40.7263224,-73.9864498
unemployment-los-angeles-ca-salary-money-diary,Product Manager (currently unemployed),30,"Los Angeles, CA",90000,34.0536909,-118.242766
disability-texas-salary-money-diary-extra,N/A (on disability),35,Texas,7740,31.8160381,-99.5120986
business-consultant-washington-dc-salary-money-diary,Project Manager/Consultant,31,"Washington, D.C.",45000,36.29885175,-82.35919331410948
student-jerusalem-israel-salary-money-diary,Unemployed MA student,24,Jerusalem,0,31.79592425,35.21198075969497
unemployed-washington-dc-salary-money-diary,Unemployed,36,"Washington, D.C.",120000,36.29885175,-82.35919331410948
landscaping-consultant-san-jose-ca-salary-money-diary,Consultant,32,"San Jose, CA",72000,37.3361905,-121.890583
education-director-brooklyn-ny-salary-money-diary,Director,24,"Brooklyn, NY",58500,40.6501038,-73.9495823
consultant-ski-town-co-salary-money-diary,Consultant,29,"Ski Town, CO",165000,42.286953999999994,-74.65700183008722
bay-area-ca-unemployed-salary-money-diary,Unemployed,29,"Bay Area, CA",50000,37.7884969,-122.3558473
veterinarian-technician-san-diego-ca-salary-money-diary,Emergency Veterinary Technician,31,"San Diego, CA",50000,32.7174202,-117.1627728
graduate-student-dallas-tx-salary-money-diary,Graduate Student,22,"Dallas, TX",35000,32.7762719,-96.7968559
school-teacher-alaskan-bush-salary-money-diary,Elementary School Teacher,28,Alaskan Bush,60000,61.173806,-149.8716086
intelligence-analyst-northern-virginia-salary-money-diary,Intelligence Analyst,28,Northern Virginia,115000,-12.544455500000002,131.0183706011867
software-engineer-nashville-tn-salary-money-diary,Junior Software Engineer,29,"Nashville, TN",52500,36.1622296,-86.7743531
military-band-member-illinois-salary-money-diary,Military Band Member,26,Illinois,24512,40.0796606,-89.4337288
junior-analyst-washington-dc-salary-money-diary,Junior Analyst,24,"Washington, DC",55000,38.8949924,-77.0365581
social-worker-midwest-salary-money-diary,School Social Worker,26,Midwest,61000,43.411391,-106.280075
digital-operations-manager-brooklyn-ny-salary-money-diary,Digital Operations Manager,26,"Brooklyn, NY",65000,40.6501038,-73.9495823
operations-coordinator-chicago-il-salary-money-diary,Senior Operations Coordinator,31,"Chicago, IL",50000,41.8755616,-87.6244212
dietitian-queensland-australia-salary-money-diary,Dietitian,31,"Queensland, Australia",84500,-22.1646782,144.5844903
financial-analyst-san-francisco-ca-salary-money-diary,Financial Analyst,27,"San Francisco, CA",108000,37.7790262,-122.4199061
designer-brooklyn-ny-salary-money-diary-2,Designer,24,"Brooklyn, NY",102900,40.6501038,-73.9495823
unemployed-burbank-ca-salary-money-diary,Unemployed (hopefully temporary!),32,"Burbank, CA",57000,34.1816482,-118.3258554
director-of-partnerships-utah-salary-money-diary,Director of Partnerships,27,Rural UT,62500,40.7216132,-111.8982694
behavioral-health-aide-anchorage-ak-salary-money-diary,Behavioral Health Aide,31,"Anchorage, AK",65900,61.2163129,-149.894852
communications-manager-san-francisco-ca-salary-money-diary,Communications Manager,26,"San Francisco, CA",115500,37.7790262,-122.4199061
immigration-attorney-long-beach-ca-salary-money-diary,Immigration Attorney,27,"Long Beach, CA",58000,33.7690164,-118.191604
